date,ticker,price
2024-01-01,AAPL,152.6053290413976
2024-01-02,AAPL,153.1243076349089
2024-01-03,AAPL,154.31048195418464
2024-01-04,AAPL,154.94733349759224
2024-01-05,AAPL,154.7886952274801
2024-01-06,AAPL,155.4600143351661
2024-01-07,AAPL,154.857252522826
2024-01-08,AAPL,154.85918589352931
2024-01-09,AAPL,156.16581904067905
2024-01-10,AAPL,156.22079912902885
2024-01-11,AAPL,157.0426639453561
2024-01-12,AAPL,157.35971129498827
2024-01-13,AAPL,157.65247511650543
2024-01-14,AAPL,158.18319179034958
2024-01-15,AAPL,159.18719441790387
2024-01-16,AAPL,159.38617521621666
2024-01-17,AAPL,160.6039792879165
2024-01-18,AAPL,159.71769043286807
2024-01-19,AAPL,158.9602968619379
2024-01-20,AAPL,160.16977569950984
