date,ticker,price
2024-01-01,AAPL,150.05751368548283
2024-01-02,AAPL,149.45317217162764
2024-01-03,AAPL,148.06311584734038
2024-01-04,AAPL,148.5684035233215
2024-01-05,AAPL,149.5463929841752
2024-01-06,AAPL,150.55538401886514
2024-01-07,AAPL,150.03783835323824
2024-01-08,AAPL,150.58919119853485
2024-01-09,AAPL,152.14764337379148
2024-01-10,AAPL,154.57042339654794
2024-01-11,AAPL,153.48990702476212
2024-01-12,AAPL,151.7134657284001
2024-01-13,AAPL,151.94661703192295
2024-01-14,AAPL,151.04361905621835
2024-01-15,AAPL,151.17251392497747
2024-01-16,AAPL,149.87557277651482
2024-01-17,AAPL,149.43578666118677
2024-01-18,AAPL,149.34392754484387
2024-01-19,AAPL,147.6440178575767
2024-01-20,AAPL,147.95475262111833
